순위,기업이름,분야,평점,연봉
174,국방과학연구소 ,기관/협회,3.9,5076
237,현대자동차 ,제조/화학,3.8,5745
313,유니코써치 ,서비스업,3.8,3110
366,카카오모빌리티 ,IT/웹/통신,3.7,5851
533,에이치알맨파워그룹 ,IT/웹/통신,3.6,2780
573,한국과학기술원 ,교육업,3.6,3907
606,엑스퍼넷 ,IT/웹/통신,3.5,3469
634,한국교통안전공단 ,기관/협회,3.5,4258
766,한국로봇융합연구원 ,기관/협회,3.5,5341
798,(재)차세대융합기술연구원 ,기관/협회,3.4,4463
807,크래프톤 ,IT/웹/통신,3.4,5178
827,엑스와이지 ,IT/웹/통신,3.4,4331
1173,안진회계법인 ,기관/협회,3.3,5447
1382,세종대학교 ,교육업,3.3,3529
1414,텔레칩스 ,제조/화학,3.3,5104
1532,웨슬리퀘스트 ,서비스업,3.2,4305
1534,크라우드웍스 ,IT/웹/통신,3.2,3872
1577,클로봇 ,IT/웹/통신,3.2,4322
1649,딥브레인에이아이 ,IT/웹/통신,3.2,4242
2056,애니펜 ,IT/웹/통신,3.1,3400
2132,비상교육 ,미디어/디자인,3.1,3726
2162,슈어소프트테크 ,IT/웹/통신,3.1,3943
2330,니어스랩 ,제조/화학,3.1,4885
2400,한화 ,제조/화학,3.0,5236
2427,컨트롤웍스 ,제조/화학,3.0,3921
3468,긴트 ,제조/화학,2.9,3936
4341,미래컴퍼니 ,제조/화학,2.7,4104
4740,더프리마 ,서비스업,2.7,2313
4755,엘에스메카피온 ,제조/화학,2.7,3657
4814,고영테크놀러지 ,제조/화학,2.7,4564
4885,에프에스솔루션 ,IT/웹/통신,2.7,3485
4939,커리어케어 ,서비스업,2.7,4052
5143,한국네트웍스 ,IT/웹/통신,2.6,4640
5194,라닉스 ,제조/화학,2.6,5574
5418,더블유컨셉코리아 ,유통/무역/운송,2.6,4127
5502,코난테크놀로지 ,IT/웹/통신,2.6,3860
5785,슈프리마 ,제조/화학,2.5,4665
5954,윈텍오토메이션 ,제조/화학,2.5,3617
5957,유진로봇 ,제조/화학,2.5,4415
6193,엔젤로보틱스 ,제조/화학,2.5,4307
7364,펀진 ,IT/웹/통신,2.4,3816
7373,디에스케이 ,제조/화학,2.4,3313
7811,오가노이드사이언스 ,기관/협회,2.3,4345
8766,제이엠피코리아 ,서비스업,2.2,2265
9239,덴티움 ,의료/제약/복지,2.1,3903
9969,다스코리아 ,유통/무역/운송,1.9,3316
10193,한성지티 ,제조/화학,1.8,3074
10335,헬셀 ,유통/무역/운송,1.8,2654
10420,서광시스템 ,IT/웹/통신,1.7,3673
10710,우정테크 ,제조/화학,1.6,3163
