기업이름,매출액
(주)쉬모스랩,"2억 2,833만원"
한국축산데이터 주식회사 농업회사법인,-
(주)아폴론,-
(주)스피링크,"17억 2,493만원"
(주)리코,"85억 6,143만원"
아이칩(주),-
코스모스랩,-
코싸인온(주),"9억 7,109만원"
시너지에이아이(주),-
(주)스피링크,"17억 2,493만원"
와디즈(주),"341억 4,284만원"
(주)스마트디아그노시스,"3억 8,374만원"
코싸인온(주),"9억 7,109만원"
(주)프로닉스,4억 97만원
(주)서울로보틱스,"8,100만원"
(주)서울로보틱스,"8,100만원"
주식회사 빗썸코리아,"3,201억 328만원"
(주)서울로보틱스,"8,100만원"
세미브레인(주),1억원
주식회사 동양토탈파킹,-
(주)스피링크,"17억 2,493만원"
파이프트리스마트팜 주식회사,"1억 4,700만원"
(주)스피링크,"17억 2,493만원"
(주)스피링크,"17억 2,493만원"
(주)스피링크,"17억 2,493만원"
(주)스피링크,"17억 2,493만원"
파이프트리스마트팜 주식회사,"1억 4,700만원"
플러스아이덴티티 유한회사,-
주식회사 빗썸코리아,"3,201억 328만원"
주식회사 빗썸코리아,"3,201억 328만원"
파이프트리스마트팜 주식회사,"1억 4,700만원"
(주)아폴론,-
